Year,dry,irr
2010,0.0,0.0
2011,-0.65391142644,-0.041739419544000005
2012,-0.9475329999000001,-0.046715429889999986
2013,-1.1714225642,-0.054279296268
2014,-1.3039261953499999,-0.053432772519999984
2015,-1.4740045834000002,-0.05734042373999999
2016,-1.5696717007299998,-0.060574813180000006
2017,-1.73632024408,-0.06382544201000001
2018,-1.82839120208,-0.06672429002
2019,-2.01279502412,-0.06748010143999998
2020,-2.16925937863,-0.06981299931000001
2021,-2.40263608844,-0.07450827882599999
2022,-2.70872335557,-0.07970188028999999
2023,-3.0789960271800005,-0.09126523017
2024,-3.47706405162,-0.09564954257000001
2025,-3.64461511343,-0.09861603715700001
2026,-3.85090272355,-0.10614261168
2027,-4.166486948569999,-0.11848885108
2028,-4.363624492709999,-0.15158252491
2029,-4.5534781316,-0.16566372131999998
2030,-5.697940582880001,-0.18311952490000002
2031,-5.6312116924,-0.17517944187999998
2032,-5.84083974128,-0.17957605403999996
2033,-8.9530196256,-0.19781158216000003
2034,-13.445841234539998,-0.20622595734000004
2035,-15.282202473400002,-0.26529059835
2036,-15.063416189489999,-0.28450441078
2037,-14.865069704119,-0.33260865961999997
2038,-14.595930883520003,-0.34070835854000003
2039,-14.35884806379,-0.33958605618
2040,-15.251578536130001,-0.34258765309000005
2041,-19.23928434252,-0.34226468685
2042,-19.944714149459994,-0.33916386495
2043,-20.53291765453,-0.33604354651000007
2044,-20.552188201475996,-0.349755539704
2045,-20.224834915086,-0.6303640373500001
2046,-20.1365524732179,-1.11792420313
2047,-20.020894941150996,-1.4232919199199998
2048,-19.830630644354006,-1.4830197483999998
2049,-19.836112905619203,-1.51481855233
2050,-24.431898655613004,-1.5494353279100004
