year,Net_emission
2010,90.40412470334977
2011,88.27086206817678
2012,86.54172431297592
2013,84.81258646087149
2014,83.08344891426991
2015,81.35425911948327
2016,79.62517303200887
2017,77.89442095084134
2018,76.16689810534245
2019,74.43776003822566
2020,72.70862201019449
2021,69.22556144857728
2022,65.74298053884311
2023,58.112161179567934
2024,50.48145254799887
2025,48.33685500791723
2026,46.19394359259144
2027,36.961230266579754
2028,27.7303200172979
2029,12.713665514270389
2030,-2.304745407112776
2031,-2.0052750194429763
2032,-1.7107842908248188
2033,-5.460267518292554
2034,-9.21215869595369
2035,-24.939203612099462
2036,-40.631474516490314
2037,-56.82278068702598
2038,-73.0154713369322
2039,-88.76695405889319
2040,-104.52181239250916
2041,-120.58878117093093
2042,-136.66383717500932
2043,-152.75626246873117
2044,-168.83974569933656
2045,-184.9274667314117
2046,-201.01325200018192
2047,-217.09548865311106
2048,-233.19332135108934
2049,-249.32243329695126
2050,-265.3756522563798
