Year,Apples,Beef,Citrus,Cotton,Dairy,Environmental Plantings,Grapes,Hay,Nuts,Other non-cereal crops,Pears,Plantation fruit,Rice,Sheep,Stone fruit,Sugar,Summer cereals,Summer legumes,Summer oilseeds,Tropical stone fruit,Unallocated - modified land,Unallocated - natural land,Vegetables,Winter cereals,Winter legumes,Winter oilseeds
2010,121.270556640625,1087305.3199999998,443.0837890625,6846.696875,28992.954374999998,0.0,1643.000625,18510.62,609.9166796875,1405.716875,79.194541015625,231.67685546875,785.89640625,453850.36,429.00609375,5054.585,6993.88125,1449.39984375,399.0953515625,171.1178515625,118902.3,2666326.4,1485.0628125,199064.68,23833.4925,21829.1275
2012,75.403310546875,1072045.12,283.609765625,6147.599375,27192.149374999997,627.434296875,1719.303125,17515.90125,539.5830078125,1745.6596875,0.0,168.808828125,785.89640625,450129.22,378.1335546875,5270.83125,6837.86875,707.00484375,343.49671875,74.607412109375,139646.62,2670731.2,956.56859375,198040.96,22851.96,21948.895
2013,75.403310546875,1069372.16,283.609765625,6093.18125,27072.134374999998,1291.340078125,1719.303125,17418.44,539.5830078125,1745.6596875,0.0,168.808828125,785.89640625,450156.98,378.1335546875,5270.83125,6784.405,707.00484375,369.89421875,74.607412109375,140580.52,2671407.04,956.56859375,198638.24,22877.255,21996.9025
2014,50.6979736328125,1066638.32,283.609765625,6066.11125,26744.664375,2054.07765625,1719.303125,17342.00375,542.254921875,1745.6596875,0.0,168.808828125,760.81375,450077.72,378.1335546875,5270.83125,6730.024375,707.00484375,342.6978515625,49.743525390625,141812.88,2672132.64,931.16484375,199239.88,22904.15,22070.7025
2015,50.6979736328125,1063580.88,283.609765625,6011.66875,26374.781875,2894.3090625,1693.71984375,17313.9375,542.254921875,1719.8559375,0.0,168.808828125,760.81375,450056.45999999996,378.1335546875,5270.83125,6703.224375,734.10078125,342.6978515625,49.743525390625,143260.26,2672779.36,931.16484375,199814.82,22929.49,22118.3825
2016,50.6979736328125,1059831.44,283.609765625,5957.62875,26045.361875,3764.97625,1669.1265625,17264.12625,542.254921875,1744.44921875,0.0,168.808828125,760.81375,450092.04,378.1335546875,5270.83125,6648.658125,707.48640625,342.6978515625,49.743525390625,145202.66,2673533.92,905.836875,200403.42,22954.8025,22190.39
2017,50.6979736328125,1055479.8599999999,283.609765625,5876.166875,25822.126874999998,4682.5225,1669.1265625,17215.47625,542.254921875,1669.578125,0.0,168.808828125,760.81375,450021.45999999996,378.1335546875,5270.83125,6595.2575,707.48640625,342.6978515625,49.743525390625,147752.37,2674287.68,878.89078125,201066.7,22953.26,22238.56
2018,50.6979736328125,1051379.7999999998,283.609765625,5821.25375,25572.441875,5610.50375,1643.58796875,17092.285,542.254921875,1619.5215625,0.0,168.808828125,760.81375,449878.69999999995,352.3443359375,5270.83125,6539.92375,707.48640625,342.6978515625,49.743525390625,150632.98,2674801.44,876.4634375,201603.2,22924.9475,22237.515
2019,50.6979736328125,1046896.6799999999,283.609765625,5794.88375,25327.899374999997,6627.060625,1643.58796875,16994.82375,542.254921875,1569.5271875,0.0,168.808828125,760.81375,449761.12,352.3443359375,5270.83125,6512.23375,707.48640625,342.6978515625,49.743525390625,153388.94,2675424.0,853.163984375,202284.18,22925.655,22230.64
2020,50.6979736328125,1042282.7999999999,283.609765625,5768.13625,25182.001874999998,7605.618125,1617.75515625,16922.25125,570.2951953125,1569.5271875,0.0,168.808828125,760.81375,449698.42000000004,352.3443359375,5270.83125,6457.77875,707.48640625,342.6978515625,49.743525390625,156046.57,2676080.48,853.163984375,202913.64,22925.655,22282.77
2021,50.6979736328125,1039819.94,283.609765625,5714.695,24878.344375,9651.643125,1591.82109375,16747.465,544.49140625,1544.82171875,0.0,168.808828125,760.81375,448641.28,352.3443359375,5270.83125,6484.09375,707.48640625,342.6978515625,49.743525390625,155934.54,2676280.48,829.77734375,204704.84,23000.6875,22407.86
2022,50.6979736328125,1037387.58,255.34390625,5687.97375,24663.986875,11705.05875,1591.82109375,16385.6975,544.49140625,1544.82171875,0.0,168.808828125,735.70015625,448422.92000000004,351.8505078125,5270.83125,6484.09375,708.78828125,369.0403515625,49.743525390625,155027.44,2676480.8,829.77734375,206463.64,23075.5775,22507.515
2023,50.6979736328125,1033400.22,255.34390625,5634.51875,24341.586874999997,16864.4875,1565.65953125,16050.14,544.49140625,1518.8878125,0.0,168.808828125,710.49421875,448020.42000000004,326.105078125,5270.83125,6484.09375,682.12046875,369.0403515625,49.743525390625,153205.56,2676709.6,829.77734375,207956.76,23150.3575,22604.085
2024,50.6979736328125,1028999.32,255.34390625,5608.92,23863.191875,22243.4675,1565.65953125,15657.58125,544.49140625,1518.8878125,0.0,168.808828125,710.49421875,447869.4,326.105078125,5270.83125,6511.4625,682.12046875,369.0403515625,49.743525390625,151334.05,2676910.72,829.77734375,209497.2,23200.2075,22726.3825
2025,50.6979736328125,1026082.74,255.34390625,5580.825,23186.596875,23785.155,1539.88484375,15512.2125,572.618671875,1518.8878125,0.0,168.808828125,710.49421875,448306.0,326.105078125,5270.83125,6482.290625,682.12046875,369.0403515625,49.743525390625,150952.98,2677139.2,829.77734375,211211.44,23275.76,22904.21
