Year,Apples,Beef - modified land,Beef - natural land,Citrus,Cotton,Dairy - modified land,Dairy - natural land,Grapes,Hay,Nuts,Other non-cereal crops,Pears,Plantation fruit,Rice,Sheep - modified land,Sheep - natural land,Stone fruit,Sugar,Summer cereals,Summer legumes,Summer oilseeds,Tropical stone fruit,Vegetables,Winter cereals,Winter legumes,Winter oilseeds
2010,,0.0,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,
2011,25.8183349609375,3639.2671875,0.0,102.2230078125,161.328671875,58.8166259765625,0.0,587.2159375,24.7053369140625,188.67091796875,587.7134765625,0.0,57.038544921875,0.0,15892.76,0.0,124.66486328125,1020.575,0.0,0.0,0.0,24.879638671875,348.5915234375,0.0,0.0,0.0
2012,25.8183349609375,6765.21,0.0,102.1034375,161.328671875,176.3707421875,0.0,587.126484375,24.7053369140625,188.67091796875,626.712265625,0.0,84.5640625,0.0,18704.79875,0.0,124.66486328125,879.141640625,0.0,0.0,0.0,24.879638671875,348.0106640625,0.0,0.0,0.0
2013,25.8183349609375,9641.6725,0.0,102.1034375,161.328671875,205.77517578125,0.0,638.05421875,24.7053369140625,216.7548828125,699.38953125,0.0,84.5640625,0.0,20966.4775,0.0,149.60732421875,907.104609375,0.0,0.0,0.0,24.879638671875,392.82375,0.0,0.0,0.0
2014,25.8183349609375,11722.95125,0.0,127.68669921875,161.328671875,235.19521484375,0.0,688.739296875,24.7053369140625,219.4267578125,749.2865625,0.0,84.5640625,0.0,22087.565,0.0,149.60732421875,767.412265625,0.0,0.0,0.0,24.879638671875,416.1231640625,0.0,0.0,0.0
2015,25.8183349609375,14553.8375,0.0,127.68669921875,161.328671875,235.19521484375,0.0,688.36203125,24.7053369140625,219.4267578125,773.6634375,0.0,84.5640625,101.508203125,23540.3975,0.0,149.60732421875,710.151484375,0.0,0.0,0.0,24.879638671875,437.805390625,0.0,0.0,0.0
2016,25.8183349609375,17066.61375,0.0,127.68669921875,161.328671875,264.50408203125,0.0,713.56796875,24.7053369140625,246.45923828125,848.75609375,0.0,84.5640625,76.6009765625,23310.59,0.0,174.07126953125,710.151484375,0.0,0.0,0.0,24.879638671875,437.805390625,0.0,0.0,0.0
2017,25.8183349609375,21326.3525,0.0,127.68669921875,161.328671875,264.50408203125,0.0,763.787421875,24.7053369140625,246.45923828125,898.7815625,0.0,84.5640625,25.3734716796875,23414.215,0.0,174.07126953125,710.151484375,0.0,0.0,0.0,24.879638671875,484.3867578125,0.0,0.0,0.0
2018,25.8183349609375,24479.6,0.0,127.68669921875,134.91748046875,264.50408203125,0.0,763.622265625,24.7053369140625,246.45923828125,898.7815625,0.0,84.5640625,0.0,22747.24,0.0,174.07126953125,569.2793359375,0.0,0.0,0.0,24.879638671875,507.5278515625,0.0,0.0,0.0
2019,25.8183349609375,29014.3475,0.0,127.67185546875,108.547451171875,264.50408203125,0.0,788.904609375,24.7053369140625,273.47896484375,923.56640625,0.0,84.5640625,0.0,23386.2225,0.0,174.07126953125,459.02125,0.0,0.0,0.0,24.879638671875,507.5628515625,0.0,0.0,0.0
