year,dry,irr
2010,43.25493629768646,17.521710219360283
2011,39.063053150825795,17.615156292458124
2012,39.13140094667343,17.7511101215261
2013,39.231024417287045,17.84273936613814
2014,39.31532561543925,17.936074254245902
2015,39.37513832266005,18.076673385049645
2016,39.451402619116756,18.203190321324502
2017,39.50514507795306,18.350364173141987
2018,39.58939149308676,18.483496368766104
2019,39.64243613356642,18.648396408155225
2020,39.8836902315352,18.63369792337626
2021,39.91382619158401,18.813939330460034
2022,39.97932889556033,18.95196452420453
2023,39.92066624258519,19.211460301260992
2024,39.84627702501182,19.410090295685578
2025,39.89097481193875,19.66576107579302
2026,39.875097022234684,19.88206760058498
2027,39.93477523934395,20.0115179787623
2028,39.934871704740104,20.102148354280725
2029,39.868148613603005,20.308540784179158
2030,40.006610046039576,20.31204046917487
2031,40.22359174428912,20.31370353678418
2032,40.28241182567075,20.3388485962159
2033,40.30984293359537,20.399281617521112
2034,40.359054110992695,20.435787717525503
2035,40.10530098390449,20.511649725527764
2036,40.031310928076984,20.629134685158018
2037,39.898872592029925,20.72237132068896
2038,39.99111363336445,20.70171029078845
2039,40.26966321362782,20.45170171023012
2040,40.32252495772299,20.34340934370264
2041,40.39675349078787,20.339415136685762
2042,40.513179406325804,20.193318747147213
2043,40.566472930717254,20.12811525663523
2044,40.405588242244775,20.120583204081097
2045,40.1965757484857,19.939736325252948
2046,40.035678082717354,19.89542373380768
2047,39.53224561165962,19.82510706395947
2048,39.34252887276235,19.654589241223587
2049,39.07902044731105,19.500942249950615
2050,38.85775498384214,19.478063025903758
