year,Revenue (billion),Cost (billion),Profit (billion),rev_color,cost_color
2010,60.77664651704674,-22.70379817352106,38.072848343525685,Revenue,Cost
2011,56.67820944328392,-20.085324521696908,36.59288492158701,Revenue,Cost
2012,56.88251106819953,-19.912955090534407,36.969555977665124,Revenue,Cost
2013,57.073763783425186,-19.73285349025421,37.34091029317097,Revenue,Cost
2014,57.25139986968515,-19.548105072031717,37.703294797653435,Revenue,Cost
2015,57.451811707709695,-19.372510866849723,38.07930084085997,Revenue,Cost
2016,57.65459294044126,-19.185420373996333,38.469172566444925,Revenue,Cost
2017,57.85550925109504,-19.014646380657464,38.84086287043758,Revenue,Cost
2018,58.072887861852855,-18.858668373430024,39.214219488422835,Revenue,Cost
2019,58.29083254172165,-18.69438643734357,39.596446104378074,Revenue,Cost
2020,58.51738815491146,-18.53870961073891,39.978678544172546,Revenue,Cost
2021,58.727765522044045,-18.487749257813476,40.24001626423057,Revenue,Cost
2022,58.93129341976486,-18.4320455705835,40.49924784918136,Revenue,Cost
2023,59.132126543846184,-18.38897177014149,40.743154773704696,Revenue,Cost
2024,59.25636732069739,-18.337128159768245,40.91923916092915,Revenue,Cost
2025,59.55673588773177,-18.31528455679305,41.24145133093872,Revenue,Cost
2026,59.757164622819666,-18.279345684361193,41.47781893845847,Revenue,Cost
2027,59.94629321810625,-18.20657369709083,41.739719521015424,Revenue,Cost
2028,60.037020059020826,-18.133514165467776,41.90350589355305,Revenue,Cost
2029,60.17668939778216,-18.057132642988673,42.119556754793486,Revenue,Cost
2030,60.31865051521444,-17.969241290778314,42.34940922443613,Revenue,Cost
2031,60.537295281073305,-17.912845918723512,42.62444936234979,Revenue,Cost
2032,60.621260421886646,-17.838073995888454,42.783186425998196,Revenue,Cost
2033,60.70912455111648,-17.770124964253892,42.93899958686259,Revenue,Cost
2034,60.7948418285182,-17.698199856839704,43.096641971678494,Revenue,Cost
2035,60.61695070943226,-17.570657421426173,43.04629328800608,Revenue,Cost
2036,60.660445613235005,-17.478826037443714,43.18161957579129,Revenue,Cost
2037,60.62124391271889,-17.369173814999524,43.25207009771936,Revenue,Cost
2038,60.692823924152904,-17.283929226812816,43.40889469734009,Revenue,Cost
2039,60.72136492385794,-17.17108002593416,43.55028489792378,Revenue,Cost
2040,60.66593430142563,-17.061340210211757,43.60459409121387,Revenue,Cost
2041,60.73616862747364,-16.97624233206738,43.75992629540626,Revenue,Cost
2042,60.706498153473014,-16.871794459581444,43.83470369389157,Revenue,Cost
2043,60.69458818735249,-16.75345486837697,43.94113331897551,Revenue,Cost
2044,60.526171446325876,-16.63804763721235,43.88812380911352,Revenue,Cost
2045,60.13631207373865,-16.48239875580178,43.65391331793687,Revenue,Cost
2046,59.93110181652503,-16.384561324024645,43.546540492500384,Revenue,Cost
2047,59.35735267561909,-16.236925526862553,43.120427148756534,Revenue,Cost
2048,58.99711811398594,-16.11242827748184,42.884689836504094,Revenue,Cost
2049,58.57996269726167,-16.012165246902384,42.567797450359286,Revenue,Cost
2050,58.3358180097459,-15.963850024825208,42.371967984920694,Revenue,Cost
