year,Apples,Beef lexp,Beef meat,Citrus,Cotton,Dairy,Grapes,Hay,Nuts,Other non-cereal crops,Pears,Plantation fruit,Rice,Sheep lexp,Sheep meat,Sheep wool,Stone fruit,Sugar,Summer cereals,Summer legumes,Summer oilseeds,Tropical stone fruit,Vegetables,Winter cereals,Winter legumes,Winter oilseeds
2010,262.35814177418695,307.9527907900164,2655.481100617053,554.7901677248082,1022.5198261331674,10225.111944675446,2159.898494565025,8118.4701225037215,121.04857643603623,735.3263718801039,141.8528601977291,415.3313983611142,794.5997413739847,148.69576129002385,719.418734883175,411.7437077058253,231.67670093835147,46073.06461055306,2286.9560304121496,138.25420644119964,48.3305812064424,107.86383830566022,4586.111493870105,41187.47813163397,3110.2571118228097,2823.5920593102765
2011,262.35814177418695,307.9527907900164,2655.481100617053,554.7901677248082,1022.5198261331674,10225.111944675446,2159.898494565025,8118.4701225037215,121.0485764360362,735.3263718801038,141.8528601977291,415.3313983611142,794.5997413739847,150.03354283875913,731.9857427417882,411.7437077058253,231.67670093835147,46073.06461055306,2286.9560304121496,138.25420644119964,48.3305812064424,107.86383830566021,4586.111493870104,41187.47813163397,3110.2571118228097,2823.5920593102765
2012,264.1761256476794,308.5709645137276,2660.811621038712,557.5664968190895,1022.7354563750896,10368.065421420057,2170.196405766756,8159.149536139356,122.9870170472058,734.0672561834728,142.56273258874324,425.47271139702076,798.5324787318831,151.5115948409184,744.7212751080316,412.15247655016447,234.913863703662,46423.36588352482,2309.397272826073,141.26934048288794,49.36419186020247,109.60537614604073,4621.526085939482,42166.365967091995,3156.3710806444233,2880.518927682096
2013,265.9940782456442,309.1891015266054,2666.1418249023563,560.3427597772288,1022.9510866170116,10511.018898164664,2180.494316968486,8199.828949774992,124.9254576583754,732.8081404868416,143.27258806957872,435.61397492156635,802.4651213661109,152.49824123164856,757.9154873354024,412.5612453945037,238.15102646897256,46773.66715649658,2331.8385152399965,144.28445804339052,50.39780251396254,111.34692684479276,4656.941224715953,43145.25380254999,3202.485049466037,2937.4457960539157
2014,267.8120621191366,309.8072752503164,2671.472345324014,563.11908887151,1023.1668387527956,10653.971155980944,2190.792228170217,8240.509331207682,126.86389826954498,731.5490247902105,143.98246046059288,445.755287957473,806.3978587240091,153.5841792518737,771.214765019791,412.9700142388428,241.3881892342831,47123.97392180564,2354.2797576539197,147.2995920850788,51.43140740626836,113.08846468517328,4692.355816785331,44124.14163800799,3248.5990182876503,2994.372664425735
2015,269.6300147171014,310.4254122631942,2676.802549187658,565.8954179657911,1023.3824689947176,10796.924632725555,2201.0901393719473,8281.188744843319,128.80233888071456,730.2899090935792,144.692332851607,455.89655148201877,810.3305013582369,155.2958813052564,784.2875116073106,413.37878308318193,244.62535199959362,47474.2751947774,2376.721000067843,150.3147261267671,52.465018060028434,114.8300153839253,4727.770408854708,45103.034383396014,3294.712987109264,3051.299532797554
2016,271.4479985905939,311.04358598690527,2682.133069609316,568.6716809239305,1023.5980992366398,10939.878109470164,2211.3883080536443,8321.868158478954,130.74076506176934,729.0307933969482,145.40218833244248,466.0378645179253,814.2632387161352,155.8058216482995,798.3025075396422,413.787551927521,247.8624871468892,47824.57646774916,2399.162515108169,153.3298436872697,53.498628713788506,116.5715532243058,4763.185000924086,46081.92221885402,3340.826955930877,3108.2264011693737
2017,273.2659511885587,311.6617597106165,2687.463590030975,571.4480100182117,1023.813729478562,11082.831586214772,2221.6862192553745,8362.547572114589,132.67920567293893,727.7716777003169,146.11206072345664,476.17912804247095,818.1959760740336,156.25392992198823,812.6103582875807,414.1963207718601,251.09964991219977,48174.87774072091,2421.6037575220926,156.344977728958,54.53223936754858,118.31309106468632,4798.600139700557,47060.810054312045,3386.940924752491,3165.152932942789
2018,275.08393506205124,312.2798967234943,2692.793793894618,574.224272976351,1024.029481614346,11225.785062959383,2231.984130457105,8403.226985750223,134.6176462841085,726.5126058325529,146.82191620429214,486.3204410783776,822.1286187082615,157.10029545318284,827.0063930747001,414.6050896161994,254.33681267751032,48525.18450602997,2444.044999936016,159.36011177064628,55.56585002130865,120.05464176343834,4834.014731769934,48039.69788977004,3433.055264345645,3222.079801314609
2019,276.9019189355436,312.8980704472053,2698.1243143162774,577.0006020706322,1024.245111856268,11368.73853970399,2242.282041658836,8443.907367182916,136.55608689527813,725.2534901359218,147.53178859530627,496.4617046029232,826.0613560661596,157.508247141056,842.0356174092938,415.0138584605385,257.5739754428208,48875.48577900173,2466.4862423499394,162.3752293311489,56.59946067506873,121.79617960381883,4869.429323839312,49018.58572522804,3479.169233167259,3279.0066696864283
