year,Carpentaria Coast,Lake Eyre Basin,Murray-Darling Basin,North East Coast,North Western Plateau,Pilbara-Gascoyne,South Australian Gulf,South East Coast (NSW),South East Coast (Victoria),South West Coast,South Western Plateau,Tanami-Timor Sea Coast,Tasmania
2010,0.96,112.66,94.36,6.5,9.16,127.52,69.71,5.52,33.93,18.37,22.12,1.08,3.06
2011,0.4,79.71,75.21,1.34,9.28,100.0,69.66,5.11,51.54,17.42,22.19,0.27,3.76
2012,0.41,80.4,74.69,1.38,9.39,100.0,64.79,5.91,52.54,18.74,22.11,0.27,3.71
2013,0.41,81.09,74.53,1.28,9.5,100.0,54.88,6.31,56.42,19.61,22.06,0.28,3.8
2014,0.42,81.78,74.89,1.31,9.62,100.0,45.7,6.94,57.99,19.83,22.07,0.28,3.88
2015,0.42,82.48,75.5,1.29,9.73,100.0,39.57,7.66,59.63,20.99,22.06,0.28,4.0
2016,0.43,83.16,76.68,1.23,9.84,100.0,32.76,8.24,60.83,22.46,22.13,0.29,4.14
2017,0.44,83.85,77.04,1.13,9.96,100.0,32.67,8.87,61.06,23.36,22.19,0.29,4.3
2018,0.44,84.54,77.62,1.15,10.07,100.0,32.52,9.14,61.2,24.94,22.32,0.29,4.53
2019,0.45,85.24,78.16,1.17,10.18,100.0,32.31,9.43,62.85,26.84,22.34,0.29,4.7
2020,0.45,85.74,77.94,1.11,10.3,100.0,32.15,9.76,64.58,28.62,22.37,0.3,4.86
2021,0.45,85.91,79.59,1.17,10.33,100.0,31.7,11.06,68.56,31.69,22.36,0.3,4.98
2022,0.46,86.1,80.96,1.19,10.37,100.0,31.56,12.75,70.67,33.4,22.24,0.3,5.05
2023,0.46,86.27,85.16,1.57,10.41,100.0,31.35,16.26,75.22,41.75,21.98,0.3,5.03
2024,0.46,86.44,91.42,1.66,10.45,100.0,30.5,19.89,77.96,50.07,21.75,0.3,5.17
2025,0.46,86.62,94.48,1.84,10.48,100.0,30.49,20.66,78.26,51.09,21.77,0.3,5.22
2026,0.46,86.78,100.0,2.02,10.52,100.0,30.6,21.85,78.67,52.02,21.73,0.3,5.29
2027,0.46,86.95,100.0,2.39,10.56,100.0,34.87,26.57,85.37,60.4,21.65,0.3,5.49
2028,0.46,87.14,100.0,3.02,10.6,100.0,34.6,31.47,88.79,63.99,21.61,0.3,5.65
2029,0.47,87.33,100.0,4.75,10.63,100.0,35.75,39.47,99.28,76.52,21.48,0.3,6.1
2030,0.47,87.51,100.0,6.64,10.67,100.0,40.64,46.04,100.0,84.46,27.16,0.34,6.51
2031,0.47,87.68,100.0,6.32,10.71,100.0,40.09,46.11,100.0,84.43,27.4,0.3,6.53
2032,0.47,87.88,100.0,6.28,10.75,100.0,40.42,45.75,100.0,84.38,27.43,0.3,6.53
2033,0.47,88.08,100.0,6.44,10.78,100.0,40.17,45.81,99.99,84.31,27.49,0.3,6.45
2034,0.47,88.29,100.0,6.31,10.82,100.0,39.98,45.66,99.63,83.93,27.54,0.37,6.43
2035,0.47,88.72,100.0,9.19,10.86,100.0,45.59,50.99,100.0,88.67,46.36,0.31,6.59
2036,0.48,88.64,99.99,11.09,10.9,100.0,47.85,56.93,100.0,92.68,62.99,1.67,6.69
2037,0.48,89.24,100.0,13.05,10.93,100.0,72.4,60.86,100.0,95.0,67.48,1.67,6.86
2038,0.48,89.14,100.0,14.05,10.97,100.0,100.0,62.59,100.0,97.68,69.72,1.67,7.31
2039,0.73,89.85,100.0,15.68,11.01,100.0,100.0,63.52,100.0,99.43,71.45,1.67,7.39
2040,0.48,89.64,100.0,16.55,11.05,100.0,100.0,64.83,100.0,100.0,72.12,1.67,7.55
2041,0.73,90.9,100.0,17.74,11.08,100.0,100.0,65.32,100.0,100.0,77.62,1.67,7.69
2042,0.52,90.62,100.0,18.76,11.12,100.0,100.0,65.81,100.0,100.0,88.7,1.67,7.87
2043,0.74,92.38,100.0,20.02,11.16,100.0,100.0,66.12,100.0,99.29,92.72,1.67,8.03
2044,0.49,92.25,100.0,21.01,11.2,100.0,100.0,66.21,100.0,100.0,96.44,1.67,8.13
2045,0.78,96.02,99.97,22.74,11.23,100.0,100.0,66.26,100.0,100.0,98.85,2.19,8.29
2046,0.49,96.31,100.0,23.33,11.27,100.0,100.0,66.99,100.0,100.0,100.0,2.27,8.43
2047,0.79,98.44,100.0,25.47,11.31,100.0,100.0,67.24,100.0,99.57,100.0,2.38,8.52
2048,0.56,98.66,100.0,26.51,11.34,100.0,100.0,67.6,100.0,98.88,100.0,2.54,8.63
2049,0.79,100.0,100.0,28.22,11.38,100.0,100.0,68.45,99.86,100.0,100.0,3.44,8.7
2050,0.6,100.0,100.0,29.91,11.42,100.0,100.0,69.01,100.0,100.0,100.0,3.85,8.88
