year,Carpentaria Coast,Lake Eyre Basin,Murray-Darling Basin,North East Coast,North Western Plateau,Pilbara-Gascoyne,South Australian Gulf,South East Coast (NSW),South East Coast (Victoria),South West Coast,South Western Plateau,Tanami-Timor Sea Coast,Tasmania
2010,95153.62,45723.92,5581742.5,923074.44,1769.54,7505.81,83829.77,380909.0,1045937.25,208996.0,6577.99,119038.95,355881.72
2011,39877.5,32349.29,4449136.5,190497.23,1791.51,5885.87,83767.23,352622.62,1588865.75,198184.45,6600.72,30039.42,436670.56
2012,40444.2,32630.13,4417966.0,195650.23,1813.49,5885.87,77920.2,407692.5,1619667.12,213212.55,6575.12,30131.27,431015.78
2013,41010.89,32910.25,4408679.5,182277.77,1835.46,5885.87,65997.52,435356.25,1739251.38,223048.14,6560.19,30456.92,441271.72
2014,41577.61,33190.76,4429769.5,186725.55,1857.43,5885.87,54955.54,479368.41,1787736.5,225587.11,6563.04,30782.55,450732.94
2015,42144.31,33472.42,4466274.5,183332.56,1878.82,5885.87,47587.45,529172.19,1838449.0,238728.3,6559.51,31108.2,464984.75
2016,42710.23,33750.45,4535948.5,174545.89,1900.78,5885.87,39395.29,569045.38,1875353.62,255548.47,6582.68,31433.84,481410.38
2017,43276.95,34029.18,4557196.5,161002.28,1922.75,5885.87,39294.54,612310.62,1882520.88,265686.97,6600.83,31759.49,499498.31
2018,43843.64,34310.77,4591203.0,163629.83,1944.72,5885.87,39103.29,631217.25,1886631.38,283654.66,6637.08,32085.13,526485.38
2019,44410.34,34592.36,4623297.0,166851.27,1966.69,5885.87,38850.7,650922.81,1937516.62,305280.25,6643.79,32410.78,546860.5
2020,44977.04,34795.86,4610545.5,157715.95,1988.65,5885.87,38664.78,673977.12,1990876.75,325560.28,6653.6,32736.43,564547.88
2021,45113.96,34867.09,4707915.0,166611.98,1995.88,5885.87,38118.8,763261.06,2113773.75,360444.94,6648.58,32797.79,579070.12
2022,45250.87,34940.92,4789047.5,169180.25,2003.1,5885.87,37951.11,880595.12,2178558.25,379954.88,6613.53,32859.16,586945.62
2023,45387.8,35011.43,5037656.0,222475.62,2010.32,5885.87,37696.61,1122586.88,2318939.25,474909.16,6537.23,32920.52,585179.06
2024,45524.7,35080.51,5407602.0,235697.75,2017.55,5885.87,36674.64,1373093.0,2403496.25,569577.75,6470.06,32981.89,601060.12
2025,45661.62,35152.89,5588511.5,261307.06,2024.77,5885.87,36662.23,1426349.12,2412606.5,581227.06,6475.41,33043.25,607072.0
2026,45796.53,35219.87,5915275.5,287134.75,2031.99,5885.87,36795.19,1508688.62,2425444.5,591707.56,6462.84,33104.61,614998.06
2027,45933.44,35288.01,5915266.5,339147.41,2039.21,5885.87,41932.96,1834477.88,2631996.25,687057.19,6440.31,33165.97,637579.31
2028,46067.32,35366.85,5915275.0,429560.59,2046.44,5885.87,41613.89,2172474.75,2737291.25,727913.38,6426.21,33227.33,656962.94
2029,46203.19,35441.25,5915274.5,674804.94,2053.66,5885.87,42989.83,2724748.75,3060642.25,870487.88,6389.44,33288.69,709158.38
2030,46340.09,35514.57,5915266.0,943622.88,2060.88,5885.87,48868.28,3178814.5,3082881.0,960772.31,8077.58,37023.32,756348.81
2031,46477.0,35582.04,5915275.5,898562.44,2068.11,5885.87,48214.64,3183573.75,3082880.75,960485.0,8148.68,33411.43,758620.62
2032,46613.89,35663.74,5915275.0,892206.62,2075.33,5885.87,48607.89,3158931.75,3082881.0,959871.06,8159.09,33472.79,759017.0
2033,46750.79,35746.11,5915275.5,915054.25,2082.55,5885.87,48308.88,3163115.5,3082664.75,959027.62,8175.1,33534.16,749248.62
2034,46887.69,35832.47,5915275.0,896131.81,2089.78,5885.87,48084.7,3152232.5,3071351.5,954708.56,8191.51,41048.95,747360.5
2035,47021.11,36005.43,5915264.0,1305390.62,2097.0,5885.87,54826.14,3520294.0,3082880.5,1008693.12,13788.09,34352.34,765531.44
2036,47155.79,35972.22,5914405.5,1574902.12,2104.22,5885.87,57546.96,3930596.0,3082880.75,1054291.12,18733.57,183992.88,777367.69
2037,47291.53,36216.29,5915275.0,1853785.12,2111.44,5885.87,87064.05,4201538.0,3082880.25,1080691.88,20069.6,184005.27,797771.69
2038,47428.41,36177.87,5915268.5,1995473.38,2118.67,5885.87,120259.41,4321187.0,3082880.75,1111218.75,20733.8,184018.33,849925.88
2039,72582.66,36463.52,5915275.0,2227467.0,2125.89,5885.87,120259.39,4385711.5,3082880.5,1131110.12,21249.25,184020.52,858635.75
2040,47715.69,36380.98,5915275.0,2351455.75,2133.11,5885.87,120254.9,4476065.0,3082867.75,1137553.75,21450.46,183128.78,878052.19
